temperature,humidity,soil_moisture,rainfall,irrigation_required
30.19,70.37,78.32,244.21,0
39.39,52.86,77.84,212.63,0
30.04,64.19,18.32,149.54,0
19.58,36.77,87.73,36.5,0
20.01,52.38,70.56,212.98,0
32.45,58.52,14.08,149.76,0
25.33,88.66,27.71,142.14,0
36.9,32.71,89.76,197.15,0
29.94,56.9,36.39,146.19,0
17.25,93.73,40.48,94.66,0
33.04,54.0,42.67,18.56,0
24.53,73.11,73.97,112.08,0
22.65,66.88,18.07,203.76,0
30.81,79.28,23.62,151.24,0
24.02,71.68,76.72,1.43,0
17.17,91.96,47.31,1.96,0
24.58,84.99,54.85,130.92,0
28.58,50.02,65.35,39.33,0
29.73,34.47,30.08,172.66,0
32.87,44.32,66.7,214.13,0
21.89,47.51,56.9,197.63,0
29.63,57.51,41.54,59.75,0
27.92,90.88,45.79,151.23,0
20.77,74.74,66.7,5.31,0
20.15,82.22,17.81,141.75,0
33.66,66.53,69.02,12.81,0
27.42,88.02,22.86,203.19,0
21.92,55.56,66.95,210.0,0
34.03,35.81,40.8,122.02,0
29.4,34.63,26.36,86.71,0
26.43,81.1,81.63,103.02,0
32.59,42.45,82.12,48.7,0
22.11,79.23,79.43,71.45,0
23.64,70.13,33.98,5.17,1
32.06,75.75,73.02,201.49,0
33.79,57.37,41.13,234.74,0
37.29,86.0,65.0,62.83,0
32.98,69.68,74.35,220.66,0
36.78,70.91,55.07,49.45,0
33.34,88.36,46.12,79.22,0
31.54,42.1,31.66,156.27,0
27.86,39.15,86.81,111.27,0
37.84,83.32,72.71,231.27,0
22.81,88.62,80.32,16.24,0
28.59,83.0,38.22,224.17,0
32.61,74.73,41.01,64.46,0
15.31,35.1,60.87,228.41,0
22.41,92.22,79.46,186.8,0
15.3,60.11,26.88,188.05,0
24.7,50.98,66.32,122.78,0
28.83,53.57,86.11,223.17,0
31.08,66.99,45.5,203.64,0
18.82,85.34,69.78,0.63,0
38.73,76.1,42.39,191.48,0
25.03,47.74,25.47,183.82,0
37.22,30.24,53.79,83.64,0
35.87,56.27,10.26,186.99,0
19.08,64.32,48.36,5.15,0
18.68,67.42,17.26,129.64,0
32.88,57.07,48.43,212.22,0
30.37,66.42,88.92,181.89,0
29.67,92.96,58.37,167.43,0
19.07,76.82,52.7,142.75,0
37.93,87.89,48.4,157.25,0
36.05,77.43,88.59,194.56,0
17.63,76.67,11.83,173.17,0
24.2,65.33,65.99,58.87,0
19.46,41.04,71.75,2.85,0
30.21,84.69,49.06,115.3,0
25.5,63.53,17.05,225.95,0
37.56,57.85,62.44,73.83,0
15.01,91.44,37.55,68.74,0
37.44,53.5,18.88,76.13,0
31.52,73.27,20.72,170.03,0
21.12,70.14,48.84,38.68,0
27.6,64.47,82.67,75.82,0
36.27,64.24,55.95,215.18,0
34.95,83.52,78.9,163.29,0
22.49,47.69,32.8,177.45,0
24.9,71.95,17.35,178.77,0
23.97,61.95,78.45,63.41,0
32.87,48.49,39.12,195.66,0
17.8,56.66,28.91,90.35,0
29.0,49.38,73.29,212.23,0
18.69,63.68,56.44,50.44,0
23.42,64.4,20.41,43.67,1
37.31,94.76,25.17,133.18,0
22.49,42.69,17.4,220.54,0
30.41,70.9,78.16,105.32,0
38.45,54.58,40.19,228.13,0
32.49,41.06,39.47,53.74,0
31.56,64.4,58.79,157.46,0
22.27,80.5,61.38,241.96,0
33.6,54.74,15.35,245.93,0
38.07,79.55,13.52,20.2,1
36.33,37.62,31.37,149.45,0
36.41,52.46,60.44,139.35,0
38.63,32.3,46.1,159.3,0
27.43,32.15,28.71,144.73,0
17.68,49.95,78.49,188.52,0
19.16,43.46,79.24,164.03,0
33.49,42.32,69.99,147.4,0
36.24,53.98,19.91,36.3,1
31.54,88.93,12.15,217.82,0
37.23,38.23,80.5,208.68,0
20.07,86.61,68.0,66.19,0
15.98,55.79,13.54,182.4,0
34.07,89.41,27.25,68.79,0
34.24,33.23,23.73,218.2,0
29.97,34.13,81.64,249.86,0
30.27,75.69,51.21,148.47,0
28.48,73.24,41.7,63.72,0
17.68,61.7,27.22,79.5,0
20.97,57.73,53.35,149.85,0
21.37,73.37,26.31,102.35,0
34.09,56.93,69.21,24.78,0
15.84,37.11,61.92,197.18,0
26.19,70.5,63.07,65.97,0
30.43,71.68,53.45,245.47,0
21.73,71.47,52.98,218.32,0
20.89,90.28,41.85,121.56,0
39.14,76.01,30.7,159.89,0
23.52,70.88,56.02,49.24,0
17.66,37.17,70.37,165.71,0
27.29,61.77,44.42,232.39,0
31.69,44.4,30.07,67.74,0
34.62,59.81,68.67,94.31,0
29.66,90.09,21.65,65.38,0
30.93,64.85,53.3,85.57,0
17.19,92.13,47.24,197.23,0
29.84,78.59,86.5,178.77,0
21.31,89.03,67.35,118.5,0
39.05,63.13,76.84,212.19,0
22.07,41.19,38.24,124.58,0
26.43,40.05,32.31,201.75,0
30.61,83.73,13.09,148.66,0
26.69,62.97,64.27,64.99,0
38.95,30.98,72.91,165.95,0
16.3,59.93,78.37,132.73,0
33.27,33.82,22.34,85.59,0
25.51,77.71,21.47,125.15,0
18.44,52.61,72.49,104.83,0
38.41,64.31,77.06,172.04,0
16.54,88.57,70.92,145.99,0
34.71,31.25,23.73,207.5,0
15.92,52.19,65.01,209.37,0
21.48,53.25,66.74,32.9,0
26.3,65.38,75.06,176.75,0
28.21,93.75,72.87,150.26,0
25.93,32.29,13.16,246.89,0
18.85,44.51,33.05,111.18,0
34.36,51.63,65.47,233.47,0
32.58,59.93,37.81,40.93,0
17.03,40.66,49.03,245.71,0
31.3,46.4,66.56,203.01,0
21.68,54.99,20.83,18.59,1
31.8,44.26,83.13,134.85,0
22.63,37.12,65.66,136.5,0
22.57,40.24,56.02,219.52,0
28.22,64.82,40.97,61.0,0
24.8,71.89,89.19,41.74,0
21.26,67.76,82.34,178.32,0
24.09,84.81,72.95,198.7,0
22.42,35.22,31.55,11.6,1
26.1,66.81,25.82,106.2,0
30.12,35.71,33.09,149.97,0
29.82,41.93,54.64,47.25,0
34.14,53.14,62.05,111.84,0
22.66,46.25,84.74,82.53,0
30.32,88.06,50.02,184.48,0
15.02,72.54,11.96,65.87,0
19.56,51.42,54.14,184.05,0
35.93,65.6,56.62,153.58,0
17.23,90.66,11.06,173.05,0
38.93,94.33,75.06,196.66,0
20.24,59.01,55.6,3.52,0
26.25,89.08,43.91,139.76,0
36.05,34.3,53.56,127.12,0
34.06,49.25,69.22,139.63,0
38.39,89.71,21.46,85.64,0
30.34,34.7,56.35,62.65,0
29.03,43.59,48.66,10.63,0
22.18,88.5,76.35,133.34,0
25.02,90.37,38.99,184.08,0
24.72,67.51,48.15,226.84,0
32.93,70.55,69.49,20.72,0
25.61,36.13,48.42,69.72,0
15.39,42.87,46.5,163.5,0
34.85,86.54,89.76,141.88,0
36.3,31.0,22.5,29.91,1
23.07,90.09,20.47,211.57,0
22.08,75.1,75.97,44.6,0
33.28,68.22,24.37,76.74,0
21.69,67.04,72.82,191.92,0
38.34,36.6,82.84,15.16,0
28.21,83.86,89.17,33.98,0
20.55,74.18,46.79,199.13,0
34.22,52.44,13.87,130.93,0
25.1,52.41,17.59,174.51,0
25.53,70.56,58.16,53.59,0
15.73,87.85,35.56,53.19,0
31.1,88.76,81.2,22.34,0
18.34,40.93,40.84,134.68,0
38.41,65.82,56.44,239.13,0
36.28,66.01,56.39,146.68,0
38.3,68.69,76.67,33.59,0
20.26,94.11,64.76,165.2,0
19.27,66.78,76.78,73.75,0
30.2,32.43,53.98,123.79,0
36.77,39.86,81.95,122.09,0
27.55,30.2,46.47,120.29,0
27.4,88.92,76.59,245.46,0
19.31,57.79,71.64,164.91,0
22.66,56.25,50.99,41.2,0
26.45,62.82,19.61,106.59,0
39.27,92.67,45.13,142.37,0
27.4,32.33,33.65,193.13,0
18.84,64.21,83.48,124.85,0
33.76,60.23,37.63,105.41,0
37.41,65.87,82.03,42.14,0
29.36,84.89,71.04,28.98,0
17.15,91.59,77.92,77.2,0
39.66,90.73,72.94,195.28,0
39.59,57.51,81.65,221.33,0
34.95,49.88,73.21,142.78,0
35.64,30.15,29.66,80.76,0
36.56,80.36,80.57,28.99,0
38.2,66.02,28.25,165.7,0
18.14,48.86,78.82,178.23,0
39.74,34.97,60.52,137.94,0
33.29,73.97,23.2,63.6,0
30.89,80.06,42.22,192.83,0
28.26,76.96,43.96,116.59,0
22.14,64.53,68.57,83.03,0
32.1,45.82,62.55,42.9,0
37.47,52.58,38.48,218.5,0
22.22,55.05,60.35,73.66,0
25.08,66.84,63.89,97.94,0
22.73,57.93,19.89,60.36,0
30.74,92.43,59.7,241.75,0
23.02,84.58,64.2,212.66,0
33.07,61.72,55.04,227.08,0
35.13,86.39,15.77,177.3,0
26.27,53.69,32.01,103.94,0
37.8,57.9,78.45,149.55,0
23.15,89.3,28.96,20.15,1
33.59,57.05,59.38,7.92,0
28.7,77.28,43.59,72.82,0
23.47,69.56,14.67,96.23,0
24.66,87.27,40.53,75.42,0
37.44,33.62,89.87,216.38,0
21.56,77.31,39.97,115.27,0
25.78,79.37,17.81,65.92,0
38.82,41.48,36.31,170.83,0
33.89,39.15,62.05,149.67,0
27.29,48.95,71.9,42.57,0
15.97,35.31,88.15,167.89,0
18.22,66.22,87.42,211.58,0
38.82,74.84,11.46,74.24,0
34.03,37.65,81.64,150.23,0
37.3,83.05,34.14,75.27,0
17.89,82.48,59.86,190.46,0
31.37,61.37,82.29,208.44,0
34.4,55.7,65.45,220.64,0
25.55,83.07,77.66,74.62,0
32.98,73.17,53.12,214.9,0
19.14,41.03,25.81,64.22,0
34.12,39.43,58.45,248.1,0
31.7,31.09,32.48,140.57,0
16.83,88.51,64.99,210.43,0
22.4,83.16,44.15,192.33,0
23.49,65.03,89.19,70.01,0
37.9,75.95,58.23,100.36,0
25.96,37.83,57.73,128.96,0
29.97,44.58,28.64,245.45,0
31.49,54.59,56.91,21.22,0
23.25,80.64,13.77,224.6,0
31.4,50.49,10.75,98.2,0
24.93,90.8,30.87,159.42,0
22.02,46.95,53.03,92.84,0
20.52,61.24,46.32,53.96,0
37.74,31.1,79.5,183.07,0
23.97,38.63,82.36,139.06,0
33.82,64.23,72.1,132.35,0
36.19,74.67,30.38,240.34,0
29.95,87.5,15.67,210.17,0
17.88,84.42,69.96,235.69,0
19.92,36.64,59.49,10.02,0
18.85,76.86,28.61,197.02,0
32.5,62.84,45.84,162.85,0
35.84,32.67,23.62,158.32,0
26.32,92.61,11.16,143.83,0
32.33,74.53,29.64,117.02,0
28.18,67.56,84.09,242.3,0
22.47,60.66,89.99,50.44,0
32.26,76.19,57.97,42.74,0
27.87,77.15,48.9,104.71,0
31.0,59.18,36.22,169.16,0
39.75,74.56,40.55,34.74,0
28.3,47.71,24.72,73.24,0
37.84,90.01,65.22,30.1,0
38.08,34.42,88.95,179.31,0
37.89,44.97,78.69,193.74,0
31.84,54.04,59.38,83.11,0
15.62,38.45,49.21,42.91,0
39.58,75.33,68.4,76.74,0
24.73,65.9,67.17,200.85,0
27.79,63.95,72.83,3.12,0
38.29,30.57,14.0,157.37,0
31.91,84.71,68.04,52.17,0
21.14,32.68,43.53,170.62,0
17.55,66.64,22.1,56.51,0
18.88,84.89,29.83,125.69,0
31.97,84.49,39.77,131.39,0
17.73,41.63,66.8,139.34,0
21.17,63.79,25.4,142.42,0
19.11,34.02,88.09,11.13,0
17.92,51.85,49.78,12.57,0
32.69,34.98,63.54,87.53,0
27.14,69.91,11.24,25.79,1
21.89,87.3,43.2,141.19,0
33.36,85.2,29.81,224.64,0
26.73,81.03,78.97,50.33,0
20.32,63.49,58.65,238.27,0
23.81,80.62,37.22,101.87,0
15.94,73.98,41.48,183.74,0
28.47,71.31,19.78,182.96,0
32.98,94.66,74.51,162.9,0
38.53,68.72,83.09,126.21,0
34.76,32.56,19.2,161.97,0
39.28,50.01,51.45,50.0,0
23.01,73.72,27.69,145.45,0
20.51,61.92,61.74,246.09,0
21.3,69.41,88.32,26.91,0
36.34,50.14,42.43,169.23,0
33.99,78.84,36.59,19.96,0
37.9,87.81,70.29,224.69,0
22.59,48.56,22.77,98.76,0
38.68,65.08,38.77,58.39,0
30.37,83.17,32.05,101.69,0
32.5,53.06,85.93,57.31,0
28.76,40.37,35.35,122.23,0
33.28,40.08,76.29,32.39,0
33.06,36.29,62.6,244.35,0
30.91,48.28,72.44,221.34,0
32.77,88.38,74.91,185.81,0
30.42,43.84,77.73,177.41,0
26.61,57.28,37.99,24.97,0
26.88,66.39,75.95,167.13,0
15.6,89.31,19.78,117.06,0
17.49,57.08,41.92,188.0,0
25.38,37.81,46.67,201.74,0
15.29,85.82,19.82,131.39,0
38.46,72.16,62.19,2.83,0
27.22,36.94,78.24,66.83,0
25.34,53.23,82.32,220.56,0
20.38,90.32,10.86,72.87,0
21.29,51.08,22.64,111.88,0
30.29,44.95,72.7,202.13,0
28.86,72.4,68.36,50.63,0
38.17,58.38,77.02,19.34,0
15.49,33.86,19.3,81.26,0
33.48,79.33,11.0,13.14,1
33.35,30.12,72.59,221.89,0
17.45,45.46,37.54,113.86,0
30.43,61.85,53.4,57.96,0
35.95,30.94,10.03,53.55,0
33.81,50.78,21.13,231.91,0
21.56,36.06,45.93,225.11,0
15.28,67.52,79.06,161.98,0
36.92,71.1,24.41,175.23,0
30.41,40.11,39.1,56.01,0
30.8,81.03,51.55,167.99,0
19.47,79.11,56.03,220.13,0
36.55,69.29,70.33,38.55,0
16.28,62.41,28.51,104.66,0
23.85,62.62,49.35,219.97,0
24.74,38.45,22.94,196.45,0
36.69,39.92,27.09,113.75,0
19.84,93.64,29.15,129.84,0
34.29,56.89,75.07,45.27,0
19.82,60.1,45.79,178.79,0
23.47,88.85,88.85,31.73,0
15.09,39.72,73.63,110.51,0
35.0,68.9,12.03,123.31,0
27.03,34.19,43.1,231.5,0
22.24,79.49,79.62,79.37,0
26.3,70.44,29.93,89.58,0
38.39,65.94,67.53,83.67,0
38.6,41.67,27.39,111.43,0
27.6,66.92,11.1,41.37,1
18.28,93.16,56.59,160.5,0
30.84,62.54,39.73,112.33,0
37.86,36.51,38.94,152.82,0
18.35,81.18,48.79,59.37,0
38.59,89.63,51.3,29.11,0
20.08,63.0,69.34,58.5,0
32.83,76.62,17.48,188.96,0
28.64,83.47,65.08,162.23,0
32.01,55.1,54.69,149.19,0
16.43,45.13,45.56,134.92,0
18.2,42.9,16.74,59.41,0
24.5,59.78,56.83,157.98,0
23.92,71.34,20.53,52.0,0
21.27,64.25,87.41,180.13,0
38.65,35.62,13.05,127.79,0
39.47,93.88,57.93,0.83,0
30.35,85.41,42.49,166.81,0
34.36,54.44,88.36,105.19,0
37.97,43.1,28.33,85.86,0
35.77,89.97,40.28,175.06,0
26.37,88.62,10.97,145.65,0
21.86,75.09,62.61,79.93,0
19.81,40.81,68.35,68.77,0
29.75,86.92,12.74,165.29,0
18.9,48.43,89.41,2.27,0
21.84,46.69,45.1,126.7,0
28.32,87.82,80.28,244.88,0
24.82,48.09,34.61,1.45,1
21.06,91.73,53.14,191.09,0
29.83,75.89,85.45,214.8,0
24.21,40.33,23.28,68.44,0
36.5,63.14,12.31,49.43,1
16.7,43.64,83.47,81.4,0
39.82,64.02,57.89,141.58,0
26.25,67.78,28.0,76.56,0
18.35,85.33,72.21,33.68,0
28.47,73.5,36.16,168.11,0
33.71,40.41,69.46,100.26,0
38.32,84.8,29.31,185.15,0
35.38,34.04,10.81,160.19,0
23.09,80.95,33.42,96.67,0
34.16,89.76,62.77,186.12,0
19.77,40.29,59.45,21.64,0
38.06,34.73,33.74,65.69,0
24.22,31.62,13.72,206.92,0
33.87,38.01,12.0,132.78,0
29.83,39.07,44.0,228.74,0
19.32,73.87,82.55,22.11,0
33.33,91.32,82.86,105.9,0
30.61,84.54,15.61,122.46,0
31.12,33.37,54.07,78.57,0
20.9,57.35,74.01,75.27,0
37.22,81.94,86.45,192.46,0
20.72,51.55,25.06,137.58,0
16.18,66.65,70.45,240.86,0
21.1,42.44,58.97,159.19,0
32.99,33.45,38.4,145.4,0
19.41,82.14,62.11,47.4,0
28.5,50.14,73.29,154.16,0
25.89,75.28,13.46,249.73,0
18.45,56.98,67.47,216.37,0
33.08,58.84,43.82,224.96,0
19.87,59.89,65.99,21.64,0
36.96,55.86,71.15,49.12,0
24.23,47.76,49.25,125.01,0
23.98,50.44,84.46,82.61,0
34.12,35.96,76.39,175.65,0
30.28,75.27,78.98,115.87,0
22.32,74.54,13.24,18.04,1
15.64,92.87,13.87,198.66,0
30.46,70.76,28.5,118.37,0
31.01,46.61,49.14,200.51,0
32.91,69.33,27.05,127.04,0
27.19,61.55,58.89,156.12,0
19.89,59.86,65.34,116.46,0
28.12,35.44,61.67,233.7,0
26.01,82.06,25.46,30.55,1
32.89,68.57,36.19,61.43,0
33.3,47.09,58.8,238.56,0
36.45,54.78,10.05,179.58,0
34.51,68.13,61.36,52.0,0
15.69,42.59,43.36,145.71,0
16.31,93.73,63.76,203.11,0
23.7,73.08,24.5,230.34,0
23.12,87.88,67.78,120.61,0
23.78,43.71,57.27,115.85,0
34.73,74.04,20.96,164.68,0
17.1,31.17,78.69,155.47,0
22.4,62.89,44.76,124.7,0
34.24,32.27,11.86,228.57,0
38.59,77.46,80.63,9.96,0
20.73,92.76,25.25,6.31,1
20.26,59.23,14.8,160.89,0
18.1,31.15,82.97,79.28,0
29.9,39.22,47.01,238.63,0
34.56,45.05,47.59,95.04,0
18.49,62.01,52.13,54.31,0
35.41,68.61,39.1,182.67,0
21.27,79.19,13.98,223.87,0
18.84,66.88,63.76,216.68,0
36.72,76.78,54.32,223.2,0
30.9,73.72,14.86,111.84,0
33.71,54.03,87.43,239.5,0
25.68,82.16,14.73,154.56,0
24.51,79.0,23.87,193.3,0
34.24,43.05,21.01,142.29,0
32.98,81.01,61.23,246.16,0
36.65,34.63,89.53,247.61,0
37.12,50.01,33.69,246.5,0
16.21,44.27,83.07,116.67,0
28.31,39.72,42.39,163.41,0
17.21,94.84,15.46,165.57,0
25.19,33.36,40.24,26.21,0
35.83,54.87,80.26,78.44,0
17.76,73.5,86.08,174.36,0
26.19,60.38,46.13,26.26,0
